IdEmploye,Date,TauxOccupation,PrimePerformance,JoursAbsence
1,2020-01-31,86.26,781.42,3
1,2020-02-29,94.1,969.48,2
1,2020-03-31,84.34,367.45,3
1,2020-04-30,85.97,1802.46,4
1,2020-05-31,98.67,806.31,0
1,2020-06-30,90.95,1173.43,2
1,2020-07-31,87.98,1978.52,1
1,2020-08-31,91.08,1026.68,4
1,2020-09-30,62.72,1674.66,3
1,2020-10-31,66.76,512.77,4
1,2020-11-30,55.65,356.92,0
1,2020-12-31,61.99,455.55,0
1,2021-01-31,86.98,544.27,2
1,2021-02-28,82.56,1317.67,0
1,2021-03-31,92.07,1048.32,2
1,2021-04-30,81.71,427.28,1
1,2021-05-31,66.26,1435.39,3
1,2021-06-30,84.08,500.84,3
1,2021-07-31,61.36,1706.67,2
1,2021-08-31,84.71,1122.78,4
1,2021-09-30,51.66,747.1,3
1,2021-10-31,96.92,1768.17,0
1,2021-11-30,89.42,1396.97,1
1,2021-12-31,82.54,1773.61,2
1,2022-01-31,78.02,399.78,3
1,2022-02-28,69.08,431.93,2
1,2022-03-31,98.84,399.3,3
1,2022-04-30,50.9,958.6,1
1,2022-05-31,98.31,429.42,0
1,2022-06-30,64.61,1839.39,1
1,2022-07-31,84.97,1711.03,4
1,2022-08-31,98.14,1508.01,2
1,2022-09-30,81.41,1158.82,2
1,2022-10-31,93.64,402.64,4
1,2022-11-30,77.03,373.76,0
1,2022-12-31,50.62,1043.78,0
1,2023-01-31,91.23,333.63,0
1,2023-02-28,65.0,1537.75,3
1,2023-03-31,53.22,1779.03,1
1,2023-04-30,83.39,1267.8,0
1,2023-05-31,99.45,1327.12,4
1,2023-06-30,91.91,713.52,3
1,2023-07-31,79.14,1991.79,1
1,2023-08-31,78.67,1385.89,3
1,2023-09-30,61.01,1079.07,4
1,2023-10-31,54.69,1837.33,3
1,2023-11-30,93.43,316.44,0
1,2023-12-31,51.26,1450.01,3
1,2024-01-31,95.53,1035.98,0
1,2024-02-29,67.04,496.68,4
1,2024-03-31,81.57,1265.05,4
1,2024-04-30,81.98,1417.57,3
1,2024-05-31,55.21,892.12,4
1,2024-06-30,98.54,672.82,1
1,2024-07-31,73.64,1970.91,0
1,2024-08-31,50.15,271.58,1
1,2024-09-30,95.37,629.94,1
1,2024-10-31,98.58,796.42,0
1,2024-11-30,81.13,1045.54,4
1,2024-12-31,73.71,1263.56,4
2,2020-01-31,50.28,213.8,2
2,2020-02-29,92.2,712.83,4
2,2020-03-31,71.93,593.32,1
2,2020-04-30,64.67,1877.16,0
